date,site,revenue,pageviews,cpm
30-07-2016,huskermax,0.754290317,3750,0.201144085
30-07-2016,totalbarca,0.446765837,614,0.727631656
30-07-2016,buffalofambase,0.034611423,168,0.206020374
30-07-2016,tennisguru,0.684669639,1308,0.523447737
30-07-2016,hoosierhuddle,0.080163238,397,0.201922513
30-07-2016,wearewearside,0.366204766,1519,0.241082796
30-07-2016,philliesnation,0.061266197,302,0.202868201
30-07-2016,projectspurs,0.35128605,1324,0.26532179
30-07-2016,therepublikofmancunia,2.91392375,6284,0.463705243
31-07-2016,hoosierhuddle,0.083457588,315,0.264944724
31-07-2016,philliesnation,0.07250378,272,0.266558014
31-07-2016,projectspurs,0.344523356,990,0.34800339
31-07-2016,buffalofambase,0.07250378,269,0.26953078
31-07-2016,tennisguru,1.585694176,2310,0.686447695
31-07-2016,therepublikofmancunia,7.748254649,12743,0.608040073
31-07-2016,wearewearside,1.726268051,5460,0.31616631
31-07-2016,huskermax,0.883085605,3349,0.263686356
31-07-2016,totalbarca,0.595417731,624,0.954195081
1/8/2016,totalbarca,0.418726754,549,0.762708112
1/8/2016,buffalofambase,0.039203501,182,0.215403851
1/8/2016,tennisguru,0.212908374,388,0.548732923
1/8/2016,therepublikofmancunia,1.857995705,3822,0.486131791
1/8/2016,hoosierhuddle,0.106766981,504,0.211839248
1/8/2016,wearewearside,0.825775869,3267,0.252762739
1/8/2016,philliesnation,0.105724335,497,0.21272502
1/8/2016,projectspurs,0.41684999,1498,0.278271022
1/8/2016,huskermax,0.921699328,4371,0.210866925
2/8/2016,hoosierhuddle,0.458401157,1157,0.396198061
2/8/2016,philliesnation,0.2709799,680,0.398499853
2/8/2016,huskermax,2.021025883,5119,0.394808729
2/8/2016,totalbarca,0.818015693,573,1.427601558
2/8/2016,wearewearside,1.154593033,2439,0.473387877
2/8/2016,buffalofambase,0.10659584,264,0.40377212
2/8/2016,projectspurs,0.772331761,1482,0.521141539
2/8/2016,therepublikofmancunia,8.588969542,9435,0.910330635
2/8/2016,tennisguru,0.254971001,248,1.028108875
3/8/2016,philliesnation,2.628747184,2996,0.877418953
3/8/2016,wearewearside,1.608033116,1543,1.042147191
3/8/2016,projectspurs,1.58997499,1386,1.147168102
3/8/2016,tidefans,12.92789832,14886,0.868460185
3/8/2016,huskermax,5.573941527,6411,0.869434024
